t_value,A_init,ratiocellfinal
1046,34,0.259766
1046,36,0.432617
1046,38,0.386719
1046,40,0.134766
1046,42,0.692383
1046,44,0.651367
1046,46,0.319336
1046,48,0.483398
1046,50,0.672852
1101,0,0.604492
1101,2,0.702148
1101,4,0.75
1101,6,0.759766
1101,8,0.589844
1101,10,0.323242
1101,12,0.733398
1101,14,0.768555
1101,16,0.766602
1101,18,0.675781
1101,20,0.618164
1101,22,0.244141
1101,24,0.176758
1101,26,0.191406
1101,28,0.272461
1101,30,0.624023
1101,32,0.674805
1101,34,0.69043
1101,36,0.678711
1101,38,0.0869141
1101,40,0.101562
1101,42,0.276367
1101,44,0.0917969
1101,46,0.585938
1101,48,0.243164
1101,50,0.640625
1156,0,0.418945
1156,2,0.638672
1156,4,0.296875
1156,6,0.374023
1156,8,0.814453
1156,10,0.791992
1156,12,0.211914
1156,14,0.579102
1156,16,0.757812
1156,18,0.1875
1156,20,0.625977
1156,22,0.173828
1156,24,0.691406
1156,26,0.853516
1156,28,0.0683594
1156,30,0.536133
1156,32,0.318359
1156,34,0.765625
1156,36,0.672852
1156,38,0.428711
1156,40,0.637695
1156,42,0.585938
1156,44,0.361328
1156,46,0.610352
1156,48,0.661133
1156,50,0.708008
1211,0,0.354492
1211,2,0.786133
1211,4,0.755859
1211,6,0.28418
1211,8,0.206055
1211,10,0.110352
1211,12,0.686523
1211,14,0.704102
1211,16,0.658203
1211,18,0.755859
1211,20,0.68457
1211,22,0.295898
1211,24,0.68457
1211,26,0.31543
1211,28,0.674805
1211,30,0.482422
1211,32,0.143555
1211,34,0.640625
1211,36,0.121094
1211,38,0.248047
1211,40,0.792969
1211,42,0.245117
1211,44,0.689453
1211,46,0.782227
1211,48,0.134766
1211,50,0.769531
1266,0,0.37207
1266,2,0.208984
1266,4,0.683594
1266,6,0.670898
1266,8,0.55957
1266,10,0.196289
1266,12,0.65918
1266,14,0.19043
1266,16,0.776367
1266,18,0.417969
1266,20,0.555664
1266,22,0.155273
1266,24,0.285156
1266,26,0.457031
1266,28,0.147461
1266,30,0.168945
1266,32,0.225586
1266,34,0.711914
1266,36,0.306641
1266,38,0.202148
1266,40,0.34082
1266,42,0.183594
1266,44,0.260742
1266,46,0.688477
1266,48,0.890625
1266,50,0.670898
1321,0,0.553711
1321,2,0.268555
1321,4,0.787109
1321,6,0.212891
1321,8,0.123047
1321,10,0.80957
1321,12,0.798828
1321,14,0.776367
1321,16,0.151367
1321,18,0.323242
1321,20,0.175781
1321,22,0.770508
1321,24,0.62207
1321,26,0.817383
1321,28,0.750977
1321,30,0.704102
1321,32,0.274414
1321,34,0.658203
1321,36,0.138672
1321,38,0.753906
1321,40,0.62207
1321,42,0.640625
1321,44,0.773438
1321,46,0.791016
1321,48,0.233398
1321,50,0.244141
1376,0,0.491211
1376,2,0.179688
1376,4,0.581055
1376,6,0.290039
1376,8,0.213867
1376,10,0.241211
1376,12,0.143555
1376,14,0.748047
1376,16,0.829102
1376,18,0.717773
1376,20,0.818359
1376,22,0.59375
1376,24,0.77832
1376,26,0.735352
1376,28,0.707031
1376,30,0.797852
1376,32,0.193359
1376,34,0.285156
1376,36,0.199219
1376,38,0.230469
1376,40,0.72168
1376,42,0.683594
1376,44,0.841797
1376,46,0.770508
1376,48,0.694336
1376,50,0.0869141
1431,0,0.483398
1431,2,0.292969
1431,4,0.155273
1431,6,0.794922
1431,8,0.25293
1431,10,0.270508
1431,12,0.170898
1431,14,0.220703
1431,16,0.735352
1431,18,0.733398
1431,20,0.65625
1431,22,0.243164
1431,24,0.587891
1431,26,0.18457
1431,28,0.21875
1431,30,0.777344
1431,32,0.147461
1431,34,0.668945
1431,36,0.254883
1431,38,0.738281
1431,40,0.572266
1431,42,0.649414
1431,44,0.770508
1431,46,0.616211
1431,48,0.726562
1431,50,0.726562
1486,0,0.644531
1486,2,0.0957031
1486,4,0.363281
1486,6,0.755859
1486,8,0.828125
1486,10,0.72168
1486,12,0.837891
1486,14,0.568359
1486,16,0.648438
1486,18,0.178711
1486,20,0.353516
1486,22,0.640625
1486,24,0.108398
1486,26,0.734375
1486,28,0.84668
1486,30,0.720703
1486,32,0.444336
1486,34,0.387695
1486,36,0.822266
1486,38,0.28125
1486,40,0.763672
1486,42,0.683594
1486,44,0.232422
1486,46,0.78418
1486,48,0.735352
1486,50,0.137695
